dataocorrencia,lat,lon
2019-11-30,-23.5018534261969,-46.3779009341396
2019-11-30,-23.0387301449806,-45.5582941730131
2019-11-29,-23.4501680977283,-46.4133445425161
2019-11-29,-23.4501680977283,-46.4133445425161
2019-11-29,-23.4501680977283,-46.4133445425161
2019-11-29,-23.4501680977283,-46.4133445425161
2019-11-30,-23.1100087800035,-46.87870451428739
2019-11-30,-23.1100087800035,-46.87870451428739
2019-11-30,-23.1100087800035,-46.87870451428739
2019-11-30,-23.1100087800035,-46.87870451428739
2019-11-30,-23.1100087800035,-46.87870451428739
2019-11-30,-23.1100087800035,-46.87870451428739
2019-01-12,-23.5504135672,-46.909971582999894
2019-01-12,-23.5504135672,-46.909971582999894
2019-01-12,-23.5504135672,-46.909971582999894
2019-01-12,-23.5504135672,-46.909971582999894
2019-01-12,-23.746249595437497,-46.688356168374995
